LapTimeSec,Compound,TrackName,Driver,Team,TireAge,TireAgeSq,RaceLapNumber,TrackTemp,AirTemp,Humidity,WindSpeed,GapToCarAhead,DRS_Available,CircuitLength,NumberOfCorners,RaceID,LapNumber,PitLossSec,TotalRaceLaps,TyreHealth,TyreTemp_C,Psi_T,SlidingProxy,Fz_N,StintNumber
98.892,SOFT,Sakhir,HAM,Mercedes,6,36,4,28.7,23.8,29.0,0.4,0.928,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.8910391492693506,84.03886481997601,1.0,2.2696355098748855,21359.570048889414,1
98.741,SOFT,Sakhir,PER,Red Bull Racing,7,49,4,28.7,23.8,29.0,0.4,1.926,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.8944194058293686,82.95384736718748,1.0,1.8773995300921689,21314.638381661105,1
99.642,SOFT,Sakhir,MAG,Haas F1 Team,4,16,4,28.7,23.8,29.0,0.4,0.992,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.8885798118519385,84.49989645770924,1.0,2.495671733588983,21208.992251232004,1
99.772,SOFT,Sakhir,RUS,Mercedes,7,49,4,28.7,23.8,29.0,0.4,0.314,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.8500209955012832,91.68011291766774,1.001411389708057,4.608455362694726,21210.57233250548,1
100.158,SOFT,Sakhir,GAS,AlphaTauri,7,49,4,28.7,23.8,29.0,0.4,1.543,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.9878748472449924,38.754255523683234,1.0,0.1975431701438854,21058.37306521168,1
100.097,SOFT,Sakhir,ALO,Alpine,7,49,4,28.7,23.8,29.0,0.4,1.405,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.9359374076827686,66.0532665025223,1.0,1.3827274039259467,21029.334727806687,1
100.209,SOFT,Sakhir,OCO,Alpine,4,16,4,28.7,23.8,29.0,0.4,0.717,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.8642352409556423,89.54091631684878,1.0,2.9751301909800136,20860.781682876473,1
101.126,SOFT,Sakhir,ALB,Williams,4,16,4,28.7,23.8,29.0,0.4,2.319,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.8729379871592221,86.69535176050275,1.0,1.8170831937464829,20274.457218821688,1
100.958,SOFT,Sakhir,TSU,AlphaTauri,4,16,4,28.7,23.8,29.0,0.4,0.595,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.884174770370401,84.54895747952136,1.0,2.3608836706959937,20320.145268940803,1
101.163,SOFT,Sakhir,MSC,Haas F1 Team,4,16,4,28.7,23.8,29.0,0.4,0.852,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.8877366805685187,84.12434682708749,1.0,2.8644162077484365,20276.915209011204,1
101.127,SOFT,Sakhir,BOT,Alfa Romeo,7,49,4,28.7,23.8,29.0,0.4,0.449,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.8759506645550951,86.40224974412341,1.0,3.288155080202029,20286.398305280003,1
101.189,SOFT,Sakhir,HUL,Aston Martin,4,16,4,28.7,23.8,29.0,0.4,0.669,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.8991567229562342,80.30268659074397,1.0,1.9128453407319144,20216.697922296895,1
101.931,SOFT,Sakhir,STR,Aston Martin,4,16,4,28.7,23.8,29.0,0.4,0.932,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.8813821318195127,85.40993450158827,1.0,2.495121212887579,20216.266769687296,1
100.393,SOFT,Sakhir,ZHO,Alfa Romeo,4,16,4,28.7,23.8,29.0,0.4,0.441,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.8907414483708808,82.41157540868431,1.0,2.458901487473378,20626.56959165091,1
101.459,MEDIUM,Sakhir,NOR,McLaren,4,16,4,28.7,23.8,29.0,0.4,1.366,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.9735866064843084,67.97666930901786,1.0,0.9247767433140772,20414.2444101632,1
101.947,SOFT,Sakhir,LAT,Williams,4,16,4,28.7,23.8,29.0,0.4,0.948,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.8601964487358558,90.0308164865686,1.0000004748279223,2.406038543572368,20300.141653084167,1
101.803,MEDIUM,Sakhir,RIC,McLaren,4,16,4,28.7,23.8,29.0,0.4,0.802,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.9316151762861776,94.12151607980448,1.0084934473980434,4.170999048437137,20410.669942114026,1
98.471,SOFT,Sakhir,LEC,Ferrari,5,25,5,28.7,23.8,31.0,0.3,10.0,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.8741951744097748,84.84617501889277,1.0,2.647010707787237,21100.06279331086,1
98.877,SOFT,Sakhir,VER,Red Bull Racing,8,64,5,28.7,23.8,31.0,0.3,1.43,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.845199315030889,90.96498437100894,1.0004655974181458,2.7520452637458397,21245.28963085127,1
99.101,SOFT,Sakhir,SAI,Ferrari,8,64,5,28.7,23.8,31.0,0.3,2.588,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.871277571472093,84.02312915502674,1.0,1.719617673686712,21427.836774401672,1
98.923,SOFT,Sakhir,HAM,Mercedes,7,49,5,28.7,23.8,31.0,0.3,0.897,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.841224701511693,91.2154754322857,1.0007386902632451,1.4588385398396868,21399.770832376984,1
98.861,SOFT,Sakhir,PER,Red Bull Racing,8,64,5,28.7,23.8,31.0,0.3,1.775,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.8530004301946102,86.67664174312247,1.0,1.3242831902610273,21124.323154850663,1
101.169,SOFT,Sakhir,MAG,Haas F1 Team,5,25,5,28.7,23.8,31.0,0.3,1.893,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.8340847721476115,93.07546617067618,1.004729246083487,2.21677083490208,20640.5145141791,1
99.041,SOFT,Sakhir,RUS,Mercedes,8,64,5,28.7,23.8,31.0,0.3,0.444,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.7560184208848194,104.47306290195856,1.1047347748820244,3.207941575630135,21094.30417213551,1
100.249,SOFT,Sakhir,GAS,AlphaTauri,8,64,5,28.7,23.8,31.0,0.3,1.929,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.982947985123189,36.02209970053933,1.0,0.2431791142629728,20821.070733516804,1
100.465,SOFT,Sakhir,ALO,Alpine,8,64,5,28.7,23.8,31.0,0.3,1.344,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.9038119787105932,71.4287845699222,1.0,1.315833814855274,20641.240200897424,1
100.483,SOFT,Sakhir,OCO,Alpine,5,25,5,28.7,23.8,31.0,0.3,0.829,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.802083804132001,97.99868796505804,1.0319895045811822,2.687440200838783,20631.46553454052,1
102.303,SOFT,Sakhir,ALB,Williams,5,25,5,28.7,23.8,31.0,0.3,3.236,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.8347717059424687,86.3279566566992,1.0,3.718909903293961,20104.679748384093,1
100.363,SOFT,Sakhir,TSU,AlphaTauri,5,25,5,28.7,23.8,31.0,0.3,0.427,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.834251607748148,90.56321455787123,1.000158605319099,1.2543513401565132,20679.460482141243,1
102.049,SOFT,Sakhir,MSC,Haas F1 Team,5,25,5,28.7,23.8,31.0,0.3,1.057,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.8272994760648541,93.6625982886306,1.00670731311194,2.4851363182457664,20456.383992857584,1
101.817,SOFT,Sakhir,BOT,Alfa Romeo,8,64,5,28.7,23.8,31.0,0.3,0.413,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.8078382605833824,96.80225296838852,1.0231353227229754,3.911424496398633,20424.9960301808,1
102.49,SOFT,Sakhir,HUL,Aston Martin,5,25,5,28.7,23.8,31.0,0.3,0.731,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.8579105895857374,84.13509327755683,1.0,3.092242106635383,20303.34337247334,1
101.574,SOFT,Sakhir,ZHO,Alfa Romeo,5,25,5,28.7,23.8,31.0,0.3,0.577,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.8379450884082343,90.76953027269352,1.0002960884202958,3.376986787652123,20603.257994457043,1
101.715,SOFT,Sakhir,STR,Aston Martin,5,25,5,28.7,23.8,31.0,0.3,1.097,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.8286451300377836,91.88467699207833,1.0017760036822347,2.8189286282066583,20495.84577363456,1
101.713,MEDIUM,Sakhir,NOR,McLaren,5,25,5,28.7,23.8,31.0,0.3,1.335,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.9655017113906686,64.31852480444012,1.0,1.7939468559195844,20475.63202617174,1
101.678,SOFT,Sakhir,LAT,Williams,5,25,5,28.7,23.8,31.0,0.3,1.436,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.8103028685624001,93.63189194280729,1.0065953195421142,2.0395486247409687,20436.53271384076,1
101.818,MEDIUM,Sakhir,RIC,McLaren,5,25,5,28.7,23.8,31.0,0.3,0.658,1,5.412,15,2022_Bahrain Grand Prix,5,22.5,57,0.8968311890819066,103.45024332073206,1.0904545226934486,4.582114406654054,20326.625528120803,1
98.712,SOFT,Sakhir,LEC,Ferrari,6,36,6,28.3,23.7,33.0,0.2,10.0,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.8183629366306565,94.01085389294724,1.008043474475285,2.185165577912915,21240.36476572878,1
98.94,SOFT,Sakhir,VER,Red Bull Racing,9,81,6,28.3,23.7,33.0,0.2,1.836,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.7885268764899321,98.08275455068828,1.032665460563336,1.871913358212526,21060.854509889286,1
99.594,SOFT,Sakhir,SAI,Ferrari,9,81,6,28.3,23.7,33.0,0.2,2.812,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.833922853354495,85.52698668488709,1.0,2.1146523028434263,20567.462676440613,1
99.707,SOFT,Sakhir,HAM,Mercedes,8,64,6,28.3,23.7,33.0,0.2,0.719,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.8105980691561379,85.64124316287064,1.0,2.5195015666486578,20582.43093655996,1
99.218,SOFT,Sakhir,PER,Red Bull Racing,9,81,6,28.3,23.7,33.0,0.2,1.713,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.825156367875467,81.04014436307652,1.0,2.205768647427487,20926.9096573526,1
99.605,SOFT,Sakhir,RUS,Mercedes,9,81,6,28.3,23.7,33.0,0.2,2.517,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.6917454857628498,106.99111733249158,1.1443490341032478,2.3135458285890373,21270.424072575777,1
100.338,SOFT,Sakhir,MAG,Haas F1 Team,6,36,6,28.3,23.7,33.0,0.2,1.684,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.7888089403986309,94.12790637600033,1.008519805524512,1.8314773793234405,21083.410574787336,1
100.474,SOFT,Sakhir,GAS,AlphaTauri,9,81,6,28.3,23.7,33.0,0.2,1.453,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.9769790180228286,35.553512243056524,1.0,0.6920458870396026,20667.97524832231,1
100.658,SOFT,Sakhir,ALO,Alpine,9,81,6,28.3,23.7,33.0,0.2,1.56,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.8746967589906909,72.65623942631225,1.0,1.3382418440613764,20379.96210406428,1
100.558,SOFT,Sakhir,OCO,Alpine,6,36,6,28.3,23.7,33.0,0.2,0.847,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.7486099108938433,100.12908837290566,1.0512992156330665,2.8737489715413385,20371.699133955575,1
100.611,SOFT,Sakhir,TSU,AlphaTauri,6,36,6,28.3,23.7,33.0,0.2,3.543,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.8085883322705304,81.29688584945244,1.0,1.4368414779018954,20507.491621989313,1
101.708,SOFT,Sakhir,ALB,Williams,6,36,6,28.3,23.7,33.0,0.2,1.513,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.7615615648197667,97.96085645773177,1.0316876177703047,1.9130239736707852,20298.246603636995,1
102.447,SOFT,Sakhir,MSC,Haas F1 Team,6,36,6,28.3,23.7,33.0,0.2,1.23,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.7770424118160767,96.30298714949704,1.0198638235033624,2.2531735272496203,20320.46242437755,1
101.003,SOFT,Sakhir,BOT,Alfa Romeo,9,81,6,28.3,23.7,33.0,0.2,0.181,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.7310579050004209,104.23456149866564,1.1013113705296471,2.200685926022361,20653.727081957633,1
101.461,SOFT,Sakhir,ZHO,Alfa Romeo,6,36,6,28.3,23.7,33.0,0.2,1.065,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.769792483107406,99.995377635958,1.0499537870427047,2.4235356088891797,20528.19768888889,1
101.995,SOFT,Sakhir,HUL,Aston Martin,6,36,6,28.3,23.7,33.0,0.2,0.339,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.7941596491720929,95.01772357823484,1.012588774953787,1.8811528521584873,20378.2546792448,1
101.897,SOFT,Sakhir,STR,Aston Martin,6,36,6,28.3,23.7,33.0,0.2,0.899,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.7721247422390708,97.69634005380512,1.0296168251119024,1.2757612266622314,20301.123051418468,1
101.658,MEDIUM,Sakhir,NOR,McLaren,6,36,6,28.3,23.7,33.0,0.2,1.333,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.949924214668319,75.36823010354281,1.0,1.4602548838270035,20359.639859521336,1
102.945,SOFT,Sakhir,LAT,Williams,6,36,6,28.3,23.7,33.0,0.2,1.401,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.7698654928892702,92.37627791421808,1.0028233483628004,2.440106599943316,20006.323785548695,1
101.77,MEDIUM,Sakhir,RIC,McLaren,6,36,6,28.3,23.7,33.0,0.2,0.798,1,5.412,15,2022_Bahrain Grand Prix,6,22.5,57,0.8573506451748587,108.51920939815255,1.1714805583663113,4.633123576629541,20115.39674543739,1
98.835,SOFT,Sakhir,LEC,Ferrari,7,49,7,28.3,23.6,34.0,0.2,10.0,1,5.412,15,2022_Bahrain Grand Prix,7,22.5,57,0.7742421010708957,95.29472546070812,1.0140170588521351,1.8622624810749149,21097.000218961453,1
99.062,SOFT,Sakhir,VER,Red Bull Racing,10,100,7,28.3,23.6,34.0,0.2,2.064,1,5.412,15,2022_Bahrain Grand Prix,7,22.5,57,0.7513188023372445,93.88189001928554,1.0075345350609144,2.2027908347960965,21082.88795781302,1
99.588,SOFT,Sakhir,SAI,Ferrari,10,100,7,28.3,23.6,34.0,0.2,3.466,1,5.412,15,2022_Bahrain Grand Prix,7,22.5,57,0.7916830761749225,89.2686806879348,1.0,1.9042848485059725,20949.40976109165,1
